Date,Commodity,Price
1/1/79,Energy,24.82
2/1/79,Energy,28.09
3/1/79,Energy,29.49
4/1/79,Energy,29.93
5/1/79,Energy,39.64
6/1/79,Energy,43.65
7/1/79,Energy,42.1
8/1/79,Energy,43
9/1/79,Energy,43.79
10/1/79,Energy,46.02
11/1/79,Energy,49.75
12/1/79,Energy,48.19
1/1/80,Energy,48.37
2/1/80,Energy,46.84
3/1/80,Energy,46.63
4/1/80,Energy,46.93
5/1/80,Energy,47.39
6/1/80,Energy,46.9
7/1/80,Energy,46.36
8/1/80,Energy,42.49
9/1/80,Energy,42.36
10/1/80,Energy,47.16
11/1/80,Energy,50.38
12/1/80,Energy,49.61
1/1/81,Energy,50.03
2/1/81,Energy,48.38
3/1/81,Energy,48.07
4/1/81,Energy,47.47
5/1/81,Energy,45.38
6/1/81,Energy,43.32
7/1/81,Energy,45.32
8/1/81,Energy,46.12
9/1/81,Energy,46.31
10/1/81,Energy,47.02
11/1/81,Energy,47.69
12/1/81,Energy,47.25
1/1/82,Energy,46.33
2/1/82,Energy,41.93
3/1/82,Energy,39.53
4/1/82,Energy,43.65
5/1/82,Energy,45.9
6/1/82,Energy,45.29
7/1/82,Energy,44.36
8/1/82,Energy,43.53
9/1/82,Energy,45.06
10/1/82,Energy,45.91
11/1/82,Energy,44.66
12/1/82,Energy,42.01
1/1/83,Energy,40.74
2/1/83,Energy,38.89
3/1/83,Energy,37.82
4/1/83,Energy,39.41
5/1/83,Energy,39.25
6/1/83,Energy,39.96
7/1/83,Energy,40.12
8/1/83,Energy,40.52
9/1/83,Energy,39.84
10/1/83,Energy,39.19
11/1/83,Energy,38.4
12/1/83,Energy,38.01
1/1/84,Energy,38.57
2/1/84,Energy,38.96
3/1/84,Energy,39.12
4/1/84,Energy,39.13
5/1/84,Energy,38.93
6/1/84,Energy,38.34
7/1/84,Energy,36.95
8/1/84,Energy,37.17
9/1/84,Energy,37.35
10/1/84,Energy,36.78
11/1/84,Energy,36.68
12/1/84,Energy,35.91
1/1/85,Energy,35.91
2/1/85,Energy,37.33
3/1/85,Energy,37.11
4/1/85,Energy,36.92
5/1/85,Energy,35.45
6/1/85,Energy,35.3
7/1/85,Energy,35.37
8/1/85,Energy,35.9
9/1/85,Energy,35.84
10/1/85,Energy,36.57
11/1/85,Energy,37.78
12/1/85,Energy,34.27
1/1/86,Energy,34.08
2/1/86,Energy,25.35
3/1/86,Energy,21.15
4/1/86,Energy,19.64
5/1/86,Energy,21.26
6/1/86,Energy,18.62
7/1/86,Energy,16.01
8/1/86,Energy,20.43
9/1/86,Energy,21.02
10/1/86,Energy,20.53
11/1/86,Energy,21.38
12/1/86,Energy,22.73
